DISTRICT,SUB-DISTRICTS,STATE,AREA-KM2,POPULATION,LITERACY-PCT
Thrissur,Talukas,Kerala,3027,3121200,95.08
Tikamgarh,Tehsils,Madhya Pradesh,5048,1445166,61.43
Tinsukia,Circles,Assam,3790,1327929,69.66
Tirap,Circles,Arunachal Pradesh,2362,111975,52.19
Tiruchirappalli,Talukas,Tamil Nadu,4509,2722290,83.23
Tirunelveli,Talukas,Tamil Nadu,6693,3077233,82.5
Tiruppur,Talukas,Tamil Nadu,5187,2479052,78.68
Tiruvannamalai,Talukas,Tamil Nadu,6188,2464875,74.21
Tonk,Tehsils,Rajasthan,7194,1421326,61.58
Tuensang,Circles,Nagaland,2536,196596,73.08
Tumkur,Talukas,Karnataka,10597,2678980,75.14
Udaipur,Tehsils,Rajasthan,11724,3068420,61.82
Udalguri,Circles,Assam,2012,831668,65.41
Udham Singh Nagar,Tehsils,Uttarakhand,2542,1648902,73.1
Udhampur,Tehsils,Jammu and Kashmir,2637,554985,68.49
Udupi,Talukas,Karnataka,3582,1177361,86.24
Ujjain,Tehsils,Madhya Pradesh,6091,1986864,72.34
Ukhrul,Sub-Divisions,Manipur,4544,183998,81.35
Umaria,Tehsils,Madhya Pradesh,4076,644758,65.89
Una,Tehsils,Himachal Pradesh,1540,521173,86.53
Unnao,Tehsils,Uttar Pradesh,4558,3108367,66.37
Upper Siang,Circles,Arunachal Pradesh,6590,35320,59.99
Upper Subansiri,Circles,Arunachal Pradesh,7032,83448,63.8
Uttar Dinajpur,Blocks,West Bengal,3140,3007134,59.07
Uttara Kannada,Talukas,Karnataka,10277,1437169,84.06
Uttarkashi,Tehsils,Uttarakhand,8016,330086,75.81
Vadodara,Talukas,Gujarat,7546,4165626,78.92
Vaishali,Blocks,Bihar,2036,3495021,66.6
Valsad,Talukas,Gujarat,3008,1705678,78.55
Varanasi,Tehsils,Uttar Pradesh,1535,3676841,75.6
Vellore,Talukas,Tamil Nadu,6075,3936331,79.17
Vidisha,Tehsils,Madhya Pradesh,7371,1458875,70.53
Viluppuram,Talukas,Tamil Nadu,7194,3458873,71.88
Virudhunagar,Talukas,Tamil Nadu,4241,1942288,80.15
Visakhapatnam,Mandals,Andhra Pradesh,11161,4290589,66.91
Vizianagaram,Mandals,Andhra Pradesh,6539,2344474,58.89
Warangal,Mandals,Andhra Pradesh,12846,3512576,65.11
Wardha,Talukas,Maharashtra,6309,1300774,86.99
Washim,Talukas,Maharashtra,4898,1197160,83.25
Wayanad,Talukas,Kerala,2130,817420,89.03
West,Tehsils,Delhi,130,2543243,86.98
West District,Sub-Divisions,Sikkim,1166,136435,77.39
West Garo Hills,Blocks,Meghalaya,3677,643291,67.58
